country,country_id,year,electoral_democracy_index,electoral_fairness_index,liberal_democracy_index,freedom_of_expression_index,freedom_of_association_index,free_and_fair_elections_index,civil_society_participation_index,voting_age_restrictions,compulsory_voting,women_voting_rights,election_monitoring_quality,campaign_donation_regulation,public_campaign_financing,vote_buying,campaign_freedom,electoral_fairness_index,election_result_acceptance,voter_turnout,voter_participation_rate,party_ban_restrictions,opposition_party_autonomy,academic_freedom,religious_freedom,freedom_of_movement,men_domestic_movement_freedom,women_domestic_movement_freedom,freedom_to_choose_residence,men_property_rights,women_property_rights,state_control_over_internet,state_territorial_control,civil_society_organizational_autonomy,civil_society_repression,government_consultation_with_civil_society,gender_inclusion_in_civil_society,religious_organization_control,media_censorship,media_censorship_effort,media_censorship_binary,journalist_harassment,media_self_censorship,media_bias,media_corruption,legislative_constraints_on_executive,judicial_constraints_on_executive,other_constraints_on_executive,education_equality,health_equality,gdp_per_capita
Mexico,3,1994,0.47,0.091,0.259,0.677,0.659,0.528,0.443,18.0,1.0,2.0,1.0,1.024,1.903,-0.881,1.09,0.091,0.113,78.5,65.89,1.921,1.484,1.93,1.344,2.066,0.98,0.792,0.978,1.22,1.327,1.278,94.6,0.345,-0.416,-0.017,1.276,-0.107,0.266,0.831,-1.177,0.774,1.37,0.671,-0.521,0.028,0.1,-0.72,-1.088,-0.626,26.101
Mexico,3,1997,0.556,0.877,0.349,0.687,0.702,0.728,0.574,18.0,1.0,2.0,0.0,1.024,3.643,-0.041,1.89,0.877,0.989,57.69,54.36,1.921,1.484,2.013,1.344,2.066,0.98,0.792,0.978,1.22,1.327,1.278,95.8,0.546,-0.29,0.713,1.276,-0.107,0.266,0.831,0.995,0.774,1.37,0.671,-0.36,0.028,0.677,-0.72,-1.088,-0.626,26.804
Mexico,3,2000,0.664,1.275,0.481,0.775,0.797,0.814,0.712,18.0,1.0,2.0,0.0,1.499,3.643,0.206,2.409,1.275,1.864,63.96,59.99,1.921,1.6,2.013,1.344,2.066,0.98,0.792,0.978,1.22,1.327,1.278,90.8,1.165,1.697,1.4,1.276,-0.893,0.754,0.831,0.995,0.774,1.37,0.918,0.146,0.105,0.898,-0.72,-1.047,-0.626,29.475
Mexico,3,2018,0.675,1.544,0.455,0.842,0.799,0.778,0.651,18.0,1.0,2.0,0.0,2.002,3.643,-0.765,2.804,1.544,1.923,63.21,65.62,1.921,0.919,1.678,1.344,2.066,1.664,1.852,0.946,1.756,1.39,1.969,87.5,2.162,1.399,0.554,1.898,-1.709,1.038,1.309,0.995,0.196,1.332,1.907,0.73,0.413,1.238,0.746,-0.703,-0.544,34.575
Suriname,4,2010,0.762,1.028,0.637,0.89,0.878,0.827,0.793,18.0,0.0,2.0,0.0,-0.531,-1.746,-0.081,1.058,1.028,1.295,73.21,65.61,1.907,1.78,1.558,2.285,1.403,2.159,1.452,0.014,1.772,2.12,1.837,95.0,2.466,2.52,1.06,1.827,1.36,1.717,2.111,0.964,1.665,1.567,2.545,0.819,0.823,1.113,1.298,0.745,0.686,26.29
Sweden,5,2018,0.91,2.142,0.878,0.968,0.936,0.961,0.944,18.0,0.0,2.0,0.0,1.506,2.92,2.492,1.589,2.142,1.588,87.18,82.08,2.48,2.668,3.193,2.692,2.011,1.883,1.875,1.345,2.705,2.228,1.42,99.667,2.585,3.085,2.07,1.857,1.469,3.361,2.194,0.996,2.257,2.058,2.323,3.204,1.469,1.575,2.145,1.566,2.235,106.273
Switzerland,6,2007,0.89,1.954,0.845,0.978,0.924,0.93,0.97,18.0,0.0,2.0,0.0,-2.125,-2.05,2.352,0.417,1.954,1.7,48.28,39.79,2.165,2.756,3.066,2.695,2.242,1.822,2.003,2.226,2.191,2.402,2.012,100.0,2.505,2.923,3.53,2.188,-0.153,3.147,2.184,0.969,3.694,3.099,2.696,3.017,1.29,2.288,2.037,3.229,2.952,108.399
Switzerland,6,2015,0.904,1.909,0.86,0.978,0.929,0.947,0.967,18.0,0.0,2.0,0.0,-2.125,-2.05,2.289,0.719,1.909,1.653,48.48,38.63,2.501,2.756,3.066,1.724,2.286,1.822,2.003,2.226,2.294,2.592,2.012,99.917,2.505,2.923,3.53,2.188,-0.153,3.147,2.184,0.969,3.694,3.099,2.696,3.017,1.29,2.288,2.037,3.229,2.952,111.987
Ghana,7,1996,0.519,0.182,0.43,0.816,0.773,0.454,0.875,18.0,0.0,2.0,0.0,0.885,-1.124,-0.416,0.586,0.182,0.044,78.21,82.48,1.522,0.995,1.978,2.502,0.728,1.709,2.243,0.351,1.638,1.154,1.886,95.333,2.401,1.37,1.493,1.417,0.096,1.005,1.14,-1.042,0.899,1.521,1.572,1.457,0.639,1.533,0.576,-0.587,-0.25,5.075
Ghana,7,2000,0.671,1.298,0.58,0.895,0.876,0.645,0.878,18.0,0.0,2.0,0.0,1.106,-1.124,-0.474,1.126,1.298,1.277,61.74,65.13,2.157,1.455,2.618,2.502,2.086,2.639,2.243,1.017,1.904,1.224,1.886,95.333,2.401,2.203,1.658,1.417,0.096,1.889,2.15,1.013,1.535,1.521,1.572,1.148,0.639,1.533,0.531,-0.587,-0.507,5.555
Ghana,7,2004,0.744,1.134,0.648,0.912,0.878,0.769,0.906,18.0,0.0,2.0,0.0,1.106,-1.124,-0.508,2.035,1.134,0.142,85.12,79.98,2.157,1.455,2.618,2.502,2.086,2.639,2.243,1.268,1.904,1.584,1.886,98.231,2.401,2.203,2.073,1.417,1.39,1.889,2.15,1.013,1.622,1.521,2.574,0.988,0.614,1.533,0.531,-0.587,0.518,6.054
Ghana,7,2008,0.737,2.024,0.639,0.909,0.882,0.757,0.906,18.0,0.0,2.0,0.0,1.137,-0.961,-0.804,1.798,2.024,0.717,72.91,69.84,2.157,1.455,2.618,2.502,2.086,2.639,2.243,1.268,1.904,1.584,1.886,98.231,2.401,2.544,2.073,1.417,1.39,1.889,2.15,1.013,1.622,1.521,2.483,0.988,0.614,1.533,0.531,-0.587,0.518,7.019
Ghana,7,2012,0.776,1.214,0.67,0.931,0.879,0.81,0.9,18.0,0.0,2.0,0.0,1.129,-0.942,-0.917,1.304,1.214,-0.618,80.15,82.2,2.157,1.455,2.618,2.502,2.086,2.639,2.243,1.364,1.362,1.297,1.886,96.846,2.401,2.544,2.073,1.417,1.39,2.295,1.849,1.013,1.622,1.521,2.841,0.988,0.848,1.533,0.531,-0.587,0.518,8.956
